2025-06-08 07:11:11 | INFO | Тестирование соединения с API...
2025-06-08 07:15:09 | INFO | Результат запроса категорий: 200
2025-06-08 07:15:09 | INFO | Бот настроен на использование реального API
2025-06-08 07:15:09 | INFO | Бот запущен
2025-06-08 07:26:52 | INFO | Тестирование соединения с API...
2025-06-08 07:26:52 | INFO | Используемый API URL: http://localhost:8000/test/hs/api
2025-06-08 07:26:52 | INFO | Базовый URL для запросов: http://localhost:8000/test/hs
2025-06-08 07:26:52 | DEBUG | Making GET request to: http://localhost:8000/test/hs
2025-06-08 07:26:52 | DEBUG | API response status: 404
2025-06-08 07:26:52 | INFO | Результат теста API: 404
2025-06-08 07:26:52 | INFO | Тестирование запроса категорий...
2025-06-08 07:26:52 | DEBUG | Making GET request to: http://localhost:8000/test/hs/api/catalog/categories
2025-06-08 07:26:52 | DEBUG | API response status: 200
2025-06-08 07:26:52 | INFO | Результат запроса категорий: 200
2025-06-08 07:26:52 | INFO | Бот настроен на использование реального API
2025-06-08 07:26:53 | INFO | Бот запущен
2025-06-08 07:42:03 | INFO | Тестирование соединения с API...
2025-06-08 07:42:03 | INFO | Используемый API URL: http://localhost:8000/test/hs/api
2025-06-08 07:42:03 | INFO | Базовый URL для запросов: http://localhost:8000/test/hs
2025-06-08 07:42:03 | DEBUG | Making GET request to: http://localhost:8000/test/hs
2025-06-08 07:42:03 | DEBUG | API response status: 404
2025-06-08 07:42:03 | INFO | Результат теста API: 404
2025-06-08 07:42:03 | INFO | Тестирование запроса категорий...
2025-06-08 07:42:03 | DEBUG | Making GET request to: http://localhost:8000/test/hs/api/catalog/categories
2025-06-08 07:42:03 | DEBUG | API response status: 200
2025-06-08 07:42:03 | INFO | Результат запроса категорий: 200
2025-06-08 07:42:03 | INFO | Бот настроен на использование реального API
2025-06-08 07:42:03 | INFO | Бот запущен
2025-06-08 07:48:13 | INFO | Тестирование соединения с API...
2025-06-08 07:48:13 | INFO | Используемый API URL: http://localhost:8000/test/hs/api
2025-06-08 07:48:13 | INFO | Базовый URL для запросов: http://localhost:8000/test/hs
2025-06-08 07:48:13 | DEBUG | Making GET request to: http://localhost:8000/test/hs
2025-06-08 07:48:13 | DEBUG | API response status: 404
2025-06-08 07:48:13 | INFO | Результат теста API: 404
2025-06-08 07:48:13 | INFO | Тестирование запроса категорий...
2025-06-08 07:48:13 | DEBUG | Making GET request to: http://localhost:8000/test/hs/api/catalog/categories
2025-06-08 07:48:13 | DEBUG | API response status: 200
2025-06-08 07:48:13 | INFO | Результат запроса категорий: 200
2025-06-08 07:48:13 | INFO | Бот настроен на использование реального API
2025-06-08 07:48:14 | INFO | Бот запущен
2025-06-08 07:56:25 | INFO | Тестирование соединения с API...
2025-06-08 07:56:25 | INFO | Используемый API URL: http://localhost:8000/test/hs/api
2025-06-08 07:56:25 | INFO | Базовый URL для запросов: http://localhost:8000/test/hs
2025-06-08 07:56:25 | DEBUG | Making GET request to: http://localhost:8000/test/hs
2025-06-08 07:56:25 | DEBUG | API response status: 404
2025-06-08 07:56:25 | INFO | Результат теста API: 404
2025-06-08 07:56:25 | INFO | Тестирование запроса категорий...
2025-06-08 07:56:25 | DEBUG | Making GET request to: http://localhost:8000/test/hs/api/catalog/categories
2025-06-08 07:56:25 | DEBUG | API response status: 200
2025-06-08 07:56:25 | INFO | Результат запроса категорий: 200
2025-06-08 07:56:25 | INFO | Бот настроен на использование реального API
2025-06-08 07:56:25 | INFO | Бот запущен
2025-06-08 07:57:13 | INFO | Тестирование соединения с API...
2025-06-08 07:57:13 | INFO | Используемый API URL: http://localhost:8000/test/hs/api
2025-06-08 07:57:13 | INFO | Базовый URL для запросов: http://localhost:8000/test/hs
2025-06-08 07:57:13 | DEBUG | Making GET request to: http://localhost:8000/test/hs
2025-06-08 07:57:13 | DEBUG | API response status: 404
2025-06-08 07:57:13 | INFO | Результат теста API: 404
2025-06-08 07:57:13 | INFO | Тестирование запроса категорий...
2025-06-08 07:57:13 | DEBUG | Making GET request to: http://localhost:8000/test/hs/api/catalog/categories
2025-06-08 07:57:13 | DEBUG | API response status: 200
2025-06-08 07:57:13 | INFO | Результат запроса категорий: 200
2025-06-08 07:57:13 | INFO | Бот настроен на использование реального API
2025-06-08 07:57:13 | INFO | Бот запущен
2025-06-08 07:57:17 | INFO | Тестирование соединения с API...
2025-06-08 07:57:17 | INFO | Используемый API URL: http://localhost:8000/test/hs/api
2025-06-08 07:57:17 | INFO | Базовый URL для запросов: http://localhost:8000/test/hs
2025-06-08 07:57:17 | DEBUG | Making GET request to: http://localhost:8000/test/hs
2025-06-08 07:57:17 | DEBUG | API response status: 404
2025-06-08 07:57:17 | INFO | Результат теста API: 404
2025-06-08 07:57:17 | INFO | Тестирование запроса категорий...
2025-06-08 07:57:17 | DEBUG | Making GET request to: http://localhost:8000/test/hs/api/catalog/categories
2025-06-08 07:57:17 | DEBUG | API response status: 200
2025-06-08 07:57:17 | INFO | Результат запроса категорий: 200
2025-06-08 07:57:17 | INFO | Бот настроен на использование реального API
2025-06-08 07:57:17 | INFO | Бот запущен
2025-06-08 08:00:09 | DEBUG | Отправка запроса на регистрацию: {'name': 'Test10', 'phone': '9210271677', 'email': 'Test10@gmail.com', 'login': 'Test10@gmail.com', 'password': 'Test1010'}
2025-06-08 08:00:09 | DEBUG | Используем эндпоинт: /auth/register
2025-06-08 08:00:09 | DEBUG | Вызов register_user с данными: {'name': 'Test10', 'phone': '9210271677', 'email': 'Test10@gmail.com', 'login': 'Test10@gmail.com', 'password': 'Test1010'}
2025-06-08 08:00:09 | DEBUG | Making POST request to: http://localhost:8000/test/hs/api/auth/register
2025-06-08 08:00:09 | DEBUG | API response status: 500
2025-06-08 08:03:42 | INFO | Тестирование соединения с API...
2025-06-08 08:03:42 | INFO | Используемый API URL: http://localhost:8000/test/hs/api
2025-06-08 08:03:42 | INFO | Базовый URL для запросов: http://localhost:8000/test/hs
2025-06-08 08:03:42 | DEBUG | Making GET request to: http://localhost:8000/test/hs
2025-06-08 08:03:42 | DEBUG | API response status: 404
2025-06-08 08:03:42 | INFO | Результат теста API: 404
2025-06-08 08:03:42 | INFO | Тестирование запроса категорий...
2025-06-08 08:03:42 | DEBUG | Making GET request to: http://localhost:8000/test/hs/api/catalog/categories
2025-06-08 08:03:42 | DEBUG | API response status: 200
2025-06-08 08:03:42 | INFO | Результат запроса категорий: 200
2025-06-08 08:03:42 | INFO | Бот настроен на использование реального API
2025-06-08 08:03:43 | INFO | Бот запущен
2025-06-08 08:04:37 | WARNING | Неизвестный callback_data: use_email_as_login
2025-06-08 08:04:37 | WARNING | Неизвестный callback_data: use_email_as_login
2025-06-08 08:04:37 | WARNING | Неизвестный callback_data: use_email_as_login
2025-06-08 08:04:37 | WARNING | Неизвестный callback_data: use_email_as_login
2025-06-08 08:04:37 | WARNING | Неизвестный callback_data: use_email_as_login
2025-06-08 08:04:37 | WARNING | Неизвестный callback_data: manual_login
2025-06-08 08:04:37 | WARNING | Неизвестный callback_data: manual_login
2025-06-08 08:04:37 | WARNING | Неизвестный callback_data: use_email_as_login
2025-06-08 08:04:37 | WARNING | Неизвестный callback_data: use_email_as_login
2025-06-08 08:04:37 | WARNING | Неизвестный callback_data: use_email_as_login
2025-06-08 08:04:37 | WARNING | Неизвестный callback_data: use_email_as_login
2025-06-08 08:04:37 | WARNING | Неизвестный callback_data: manual_login
2025-06-08 08:04:37 | WARNING | Неизвестный callback_data: manual_login
2025-06-08 08:04:50 | DEBUG | Отправка запроса на регистрацию: {'name': 'Test12', 'phone': '9210271677', 'email': 'Test12@gmail.com', 'login': 'Test12@gmail.com', 'password': 'Test1212'}
2025-06-08 08:04:50 | DEBUG | Используем эндпоинт: /auth/register
2025-06-08 08:04:50 | DEBUG | Вызов register_user с данными: {'name': 'Test12', 'phone': '9210271677', 'email': 'Test12@gmail.com', 'login': 'Test12@gmail.com', 'password': 'Test1212'}
2025-06-08 08:04:50 | DEBUG | Making POST request to: http://localhost:8000/test/hs/api/auth/register
2025-06-08 08:04:50 | DEBUG | API response status: 500
2025-06-08 08:05:59 | DEBUG | Отправка запроса на регистрацию: {'name': 'Test12', 'phone': '9210271677', 'email': 'Test12@gmail.com', 'login': 'Test12@gmail.com', 'password': 'Test1212'}
2025-06-08 08:05:59 | DEBUG | Используем эндпоинт: /auth/register
2025-06-08 08:05:59 | DEBUG | Вызов register_user с данными: {'name': 'Test12', 'phone': '9210271677', 'email': 'Test12@gmail.com', 'login': 'Test12@gmail.com', 'password': 'Test1212'}
2025-06-08 08:05:59 | DEBUG | Making POST request to: http://localhost:8000/test/hs/api/auth/register
2025-06-08 08:05:59 | DEBUG | API response status: 500
2025-06-08 08:17:06 | INFO | Тестирование соединения с API...
2025-06-08 08:17:06 | INFO | Используемый API URL: http://localhost:8000/test/hs/api
2025-06-08 08:17:06 | INFO | Базовый URL для запросов: http://localhost:8000/test/hs
2025-06-08 08:17:06 | DEBUG | Making GET request to: http://localhost:8000/test/hs
2025-06-08 08:17:06 | DEBUG | API response status: 404
2025-06-08 08:17:06 | INFO | Результат теста API: 404
2025-06-08 08:17:06 | INFO | Тестирование запроса категорий...
2025-06-08 08:17:06 | DEBUG | Making GET request to: http://localhost:8000/test/hs/api/catalog/categories
2025-06-08 08:17:06 | DEBUG | API response status: 200
2025-06-08 08:17:06 | INFO | Результат запроса категорий: 200
2025-06-08 08:17:06 | INFO | Бот настроен на использование реального API
2025-06-08 08:17:06 | INFO | Бот запущен
2025-06-08 08:18:02 | DEBUG | Отправка запроса на регистрацию: {'name': 'Test13', 'phone': '9210271677', 'email': 'Test13@gmail.com', 'login': 'Test13@gmail.com', 'password': 'Test1313'}
2025-06-08 08:18:02 | DEBUG | Используем эндпоинт: /auth/register
2025-06-08 08:18:02 | DEBUG | Вызов register_user с данными: {'name': 'Test13', 'phone': '9210271677', 'email': 'Test13@gmail.com', 'login': 'Test13@gmail.com', 'password': 'Test1313'}
2025-06-08 08:18:02 | DEBUG | Making POST request to: http://localhost:8000/test/hs/api/auth/register
2025-06-08 08:18:02 | DEBUG | API response status: 201
2025-06-08 08:18:02 | ERROR | Не удалось удалить сообщение 512: Telegram server says - Bad Request: message to delete not found
2025-06-08 08:18:02 | ERROR | Не удалось удалить сообщение 512: Telegram server says - Bad Request: message to delete not found
2025-06-08 08:18:02 | ERROR | Не удалось удалить сообщение с паролем: Telegram server says - Bad Request: message to delete not found
2025-06-08 08:18:24 | DEBUG | Making POST request to: http://localhost:8000/test/hs/api/auth/login
2025-06-08 08:18:24 | DEBUG | API response status: 200
2025-06-08 08:18:24 | ERROR | Не удалось удалить сообщение с паролем: Telegram server says - Bad Request: message to delete not found
2025-06-08 08:18:33 | DEBUG | Making GET request to: http://localhost:8000/test/hs/api/catalog/products
2025-06-08 08:18:33 | DEBUG | API response status: 200
